Variable,N_Pob1,N_Pob2,Mean_Pob1,Mean_Pob2,Median_Pob1,Median_Pob2,Std_Pob1,Std_Pob2,CV_Pob1,CV_Pob2,Min_Pob1,Min_Pob2,Max_Pob1,Max_Pob2,P25_Pob1,P25_Pob2,P75_Pob1,P75_Pob2,Skew_Pob1,Skew_Pob2,Kurt_Pob1,Kurt_Pob2
K__,2907,59,0.9293995909872721,1.3065254237288138,0.8152,1.2986,0.6774967687213101,0.635781702287176,72.89617676737156,48.66202300699666,0.0,0.4599,16.557,2.9605,0.514524,0.7682,1.207005,1.6802,6.363759436123527,0.5193478574349063,114.90823019696448,-0.5023864115459276
Ca_ppm,2907,59,2633.5862229102167,3.880966101694915e+31,1610.87,2.4679999999999997e+31,5002.175897665528,3.7775691142087916e+31,189.937806256365,97.33579256358442,0.0,7.16e+30,102433.83,1.8119e+32,25.0,1.4454999999999997e+31,2637.005,4.847999999999999e+31,7.065530589645802,2.1322695790245074,92.91714237765757,4.446578864300535
Ti__,2907,59,0.3246635490196078,0.5291372881355932,0.290152,0.4972,0.2514806115494011,0.28379175761299114,77.45883771331937,53.632916064737536,0.0,0.0677,3.531654,1.4662,0.19787349999999998,0.32994999999999997,0.42489849999999996,0.69695,3.2490672639742812,0.8604902975215424,26.030505687916847,0.997998042098875
V_ppm,2907,49,35.65659786721706,2.4853061224489792e+23,5.0,4.96e+22,80.51850812113086,2.390986644359061e+23,225.81657515665614,96.20491507110691,0.0,1.14e+22,1621.47,5e+23,5.0,2.31e+22,58.0,5e+23,8.806470216737756,0.11945293580254308,124.26543743030693,-1.9815760174460695
Cr_ppm,2907,27,43.71064671482628,4.282333333333334e+19,10.0,5e+19,100.06956278029445,1.7537633161948533e+19,228.93635830455855,40.95345176760768,1.0,1.08e+18,1250.44,5e+19,10.0,5e+19,29.0,5e+19,5.064373284205621,-1.9812567869223943,34.44194160408307,1.926068483669015
Mn_,2907,59,0.6836198283453732,0.10280169491525423,0.003,0.0575,14.675700756709071,0.18842310925288863,2146.763471186902,183.28794034788766,0.0,0.0131,571.0,1.3807,0.003,0.029400000000000003,0.0343,0.1162,36.92836337514592,5.682699929733747,1391.5246776080592,34.83867942429206
Fe__,2907,59,4.7152014317165465,3.8683576271186437,4.471721,3.6165,2.4160545643338285,1.6033867416108887,51.23968931809294,41.44877222236496,0.0,0.5842,49.064,8.2847,3.3258520000000003,2.8742,5.7829440000000005,4.76815,3.1165294378067965,0.7106603206339778,41.92798968419679,0.5056231774671129
Y_ppm,2907,59,28.486298589611287,30.033898305084747,18.3,28.999999999999996,39.4398253939715,11.115329740086846,138.45191318873162,37.009280737309474,0.5,11.999999999999998,601.88,70.0,10.975000000000001,22.5,28.72,35.0,5.1707626266846685,0.9632721058905164,39.35660296354726,1.6473151575557505
