Ratio,Mean_Pob1,Mean_Pob2,Median_Pob1,Median_Pob2,Std_Pob1,Std_Pob2,MW_p,MW_sig
Y/Fe,6.4623726042494685,10.048947827377141,4.256408685655202,7.276194299478121,8.00859452478516,8.803376849567206,2.9633212066351433e-09,***
Y/Ti,4000.2338706572677,87.81417773544489,66.18284327242598,48.640915593705294,18604.956026686777,102.65715853226614,0.10227192670610044,ns
Y/K,69.27544267617063,28.263243473635796,23.42032310486569,22.331741875866314,377.37445183030945,16.45725711072686,0.9181409733219517,ns
Fe/Ti,580.4483657994917,9.021377318645264,15.592647285711138,7.802713234232935,2203.7525286876125,7.142888618938522,1.8609619139625882e-22,***
Fe/Mn,1021.5546285415653,74.8961783203914,1101.5001666666667,57.56723891273247,835.3782865508628,51.72299975950948,5.983658294669985e-20,***
K/Ti,227.7407783077479,3.937795183605317,2.651491102738758,2.8109266202463847,824.996972305731,5.813485947582445,0.7083995476049127,ns
V/Cr,2.186546382680634,6381.756836059495,0.5,10000.0,10.502890023958928,5475.926130040737,8.469168476976209e-20,***
